"Added Time","Title"
"Jun 28, 2023, 3:45:37 PM GMT","Asteroid City"
"Jul 5, 2021, 1:53:21 AM GMT","Honey Boy"
"Mar 1, 2021, 4:13:07 AM GMT","The Mauritanian"
"Feb 11, 2023, 3:00:22 AM GMT","Causeway"
"Aug 6, 2022, 12:06:21 PM GMT","Prey"
"Mar 29, 2022, 11:25:47 AM GMT","CODA"
"Jul 6, 2021, 2:27:04 AM GMT","Moon"
"Jul 12, 2019, 11:24:55 PM GMT","THE WOLF OF WALL STREET"
"Mar 24, 2023, 2:09:14 AM GMT","Kimi"
"Aug 24, 2023, 12:48:49 PM GMT","Frailty"
"Aug 20, 2022, 1:37:26 AM GMT","Unknown Item"
"Feb 20, 2021, 2:37:42 AM GMT","Nightcrawler"
"Sep 6, 2023, 4:20:44 PM GMT","Jackie Brown"
"Dec 9, 2022, 2:55:35 AM GMT","Glass Onion: A Knives Out Mystery"
"Jan 8, 2023, 12:58:03 AM GMT","The Quiet Girl"
"Oct 16, 2021, 1:25:49 AM GMT","The Act of Killing"
"Mar 2, 2021, 10:55:24 PM GMT","10 Cloverfield Lane"
"Jan 11, 2022, 10:41:56 PM GMT","The Last Duel"
"Jan 28, 2023, 2:01:40 AM GMT","TÁR"
"Sep 19, 2021, 1:41:37 AM GMT","Mission Control: The Unsung Heroes of Apollo"
"Oct 15, 2019, 12:29:26 AM GMT","mother!"
"Nov 9, 2022, 2:24:31 AM GMT","Nope"
"Aug 16, 2021, 1:23:45 AM GMT","Tropic Thunder"
"Feb 26, 2023, 4:47:48 AM GMT","The Whale"
"Sep 1, 2023, 3:32:59 AM GMT","Waldo on Weed"
"Jan 9, 2023, 9:54:50 PM GMT","The Fabelmans"
"Jun 25, 2021, 11:35:33 PM GMT","Independence Day"
"Mar 2, 2021, 10:55:12 PM GMT","Mulholland Drive"
"Mar 12, 2022, 12:48:40 AM GMT","Full Metal Jacket"
"Mar 19, 2022, 1:36:23 AM GMT","The French Dispatch"
"Oct 1, 2022, 12:37:08 AM GMT","Snowpiercer"
"May 30, 2022, 1:40:39 AM GMT","Sicario: Day Of The Soldado"
"May 22, 2020, 2:15:10 PM GMT","Dunkirk"
"Sep 6, 2023, 8:42:10 PM GMT","Tickled"
"Mar 8, 2021, 4:22:48 PM GMT","Alien"
"Jan 8, 2023, 12:57:24 AM GMT","Bodies Bodies Bodies"
"Jul 23, 2022, 1:29:47 AM GMT","The Lobster"
"Apr 6, 2021, 2:17:21 AM GMT","Vanilla Sky"
"Aug 20, 2020, 10:38:40 PM GMT","The Revenant"
"Jun 6, 2020, 1:32:42 AM GMT","Arrival"
"Jan 6, 2020, 4:20:49 AM GMT","1917"
"Jul 12, 2019, 11:24:38 PM GMT","Inception"
"Apr 26, 2021, 2:38:37 PM GMT","The Father"
"Jan 10, 2022, 12:49:22 PM GMT","Buster's Mal Heart"
"Feb 20, 2021, 2:49:38 AM GMT","The Social Network"
"Mar 8, 2022, 10:39:41 PM GMT","Oldboy (subtitled version)"
"Mar 12, 2022, 12:53:50 AM GMT","Sicario"
"Nov 5, 2022, 3:28:38 PM GMT","Signs"
"Oct 22, 2022, 12:50:56 AM GMT","Free Guy"
"Aug 24, 2023, 12:50:19 PM GMT","Take Shelter"
"Aug 20, 2023, 1:22:25 AM GMT","Coneheads"
"Feb 20, 2021, 2:36:53 AM GMT","Tenet"
"Jul 23, 2022, 1:29:26 AM GMT","Adaptation"
"Mar 12, 2022, 12:51:49 AM GMT","Tron: Legacy"
"Aug 28, 2023, 1:52:39 AM GMT","Inglourious Basterds"
"Dec 4, 2022, 5:51:07 PM GMT","Portrait of a Lady on Fire"
"Jul 23, 2022, 1:31:52 AM GMT","Lars and the Real Girl"
"Jun 10, 2022, 1:59:13 AM GMT","Everything Everywhere All At Once"
"Feb 4, 2021, 2:36:01 AM GMT","Shutter Island"
"Feb 2, 2022, 2:35:35 AM GMT","American Hustle"
"Jul 7, 2022, 12:55:52 AM GMT","Marcel the Shell with Shoes On"
"Jul 10, 2021, 1:55:02 AM GMT","Ex Machina"
"Jun 7, 2023, 2:56:25 PM GMT","Pan's Labyrinth"
"Dec 30, 2019, 1:25:26 AM GMT","Apollo 11"
"Jun 26, 2022, 12:49:53 AM GMT","Three Billboards Outside Ebbing, Missouri"
"Aug 14, 2022, 1:10:34 AM GMT","The Killing of a Sacred Deer"
"Jun 27, 2023, 6:27:23 PM GMT","Dungeons & Dragons: Honor Among Thieves"
"Aug 26, 2022, 1:34:47 AM GMT","Cloverfield"
"May 4, 2023, 12:18:22 PM GMT","Welcome To Me"
"Feb 17, 2022, 4:13:14 AM GMT","A Ghost Story"
"Jul 11, 2020, 12:42:26 AM GMT","Saving Private Ryan"
"Jun 6, 2021, 11:31:44 PM GMT","Leviathan"
"Sep 5, 2022, 1:09:06 AM GMT","City of God"
"Jun 26, 2021, 12:09:37 AM GMT","Men In Black"
"Jun 28, 2023, 2:45:45 PM GMT","20th Century Women"
"May 22, 2022, 12:28:53 PM GMT","Predestination"
"Apr 6, 2021, 2:19:23 AM GMT","The Nice Guys"
"Jan 21, 2023, 3:40:11 AM GMT","Emily The Criminal"
"Jul 19, 2022, 2:07:42 AM GMT","Social Animals"
"Mar 11, 2023, 10:54:52 PM GMT","Barbarian"
"Jun 6, 2021, 11:37:45 PM GMT","Three Identical Strangers"
"Dec 29, 2021, 10:10:02 PM GMT","King Richard"
"Dec 12, 2021, 1:57:33 AM GMT","Jurassic Park"
"Jun 29, 2023, 3:24:15 PM GMT","Guy Ritchie's The Covenant"
"Oct 16, 2021, 1:35:54 AM GMT","The Way I See It"
"Apr 20, 2022, 1:52:19 AM GMT","Minari"
"Feb 27, 2021, 9:33:47 PM GMT","Blade Runner 2049"
"Feb 6, 2023, 5:11:23 PM GMT","2001: A Space Odyssey"
"Jul 1, 2023, 2:34:30 AM GMT","Beau Is Afraid"
"Feb 13, 2022, 12:46:41 PM GMT","War for the Planet of the Apes"
"Dec 21, 2019, 1:57:59 AM GMT","High Life"
"Mar 24, 2023, 1:48:44 AM GMT","Catch Me If You Can"
"Oct 18, 2022, 2:21:43 AM GMT","Kiss the Ground"
"Jan 29, 2022, 3:02:34 AM GMT","Citizen Kane"
"Jan 22, 2022, 1:03:56 AM GMT","Gladiator"
"Aug 8, 2020, 1:02:38 AM GMT","Mad Max: Fury Road"
"Sep 19, 2021, 1:38:16 AM GMT","Last Breath"
"Jul 21, 2020, 12:33:14 AM GMT","The Departed"
"Mar 12, 2022, 12:55:16 AM GMT","The Fallout"
"Dec 30, 2019, 1:24:48 AM GMT","Waves"
"Sep 19, 2021, 1:37:14 AM GMT","Zero Days"
"Apr 11, 2023, 3:31:57 AM GMT","Temple Grandin"
"Jul 6, 2021, 2:27:21 AM GMT","The Place Beyond the Pines"
"Jan 23, 2021, 2:30:37 AM GMT","Seven Psychopaths"
"Mar 4, 2022, 3:39:42 AM GMT","Sorry to Bother You"
"Jun 26, 2021, 12:09:01 AM GMT","Mars Attacks!"
"Jan 1, 2021, 2:48:27 AM GMT","Drive (2011)"
"May 15, 2022, 1:03:41 AM GMT","The Lincoln Lawyer"
"Dec 29, 2022, 8:08:13 PM GMT","Babylon"
"Jun 6, 2021, 9:35:56 PM GMT","Moonlight"
"Jul 11, 2020, 12:37:40 AM GMT","Guns Akimbo"
"Jan 11, 2022, 10:41:50 PM GMT","Dune"
"Feb 20, 2021, 2:48:11 AM GMT","Gangs of New York"
"Apr 14, 2021, 2:10:11 AM GMT","Solo: A Star Wars Story"
"Dec 31, 2022, 3:35:43 AM GMT","Boogie Nights"
"Jul 23, 2022, 1:26:54 AM GMT","The Invisible Man (2020)"
"Dec 5, 2019, 3:29:15 PM GMT","Ad Astra"
"Jan 8, 2023, 1:00:24 AM GMT","Bones And All"
"Jan 6, 2021, 3:10:31 AM GMT","The Master"
"Sep 5, 2022, 1:11:24 AM GMT","Whiplash"
"Mar 12, 2022, 12:41:30 AM GMT","Apocalypse Now (Final Cut)"
"Oct 2, 2021, 11:30:44 PM GMT","The Babadook"
"Feb 27, 2021, 11:49:54 PM GMT","A Clockwork Orange"
"Jan 23, 2021, 2:32:30 AM GMT","Hail, Caesar!"
"Mar 19, 2021, 9:58:04 PM GMT","28 Days Later"
"Aug 20, 2023, 2:36:09 AM GMT","Our Idiot Brother"
"Dec 18, 2021, 1:20:54 AM GMT","Joker"
"Aug 14, 2021, 1:05:38 AM GMT","A Quiet Place Part II"
"Jan 8, 2021, 10:26:03 PM GMT","Children of Men"
"May 25, 2023, 10:58:08 AM GMT","John Wick: Chapter 4"
"Oct 16, 2021, 1:24:16 AM GMT","Midsommar"
"Mar 2, 2021, 10:55:42 PM GMT","Lost Highway"
"Jun 6, 2021, 9:37:53 PM GMT","One Flew Over The Cuckoo's Nest"
"Jul 11, 2020, 12:46:16 AM GMT","The Shining"
"Mar 18, 2023, 1:46:51 AM GMT","Cocaine Bear"
